Cup #,Dead,Crisper setup,L2,Time_in_treatment_L2,Days_1_L2,Time_to_20deg_L2,L3,Time_in_treatment_L3,Days_1_L3,Time_to_20deg_L3,L4,Time_in_treatment_L4,Days_1_L4,Time_to_20deg_L4,L5,Time_in_treatment_L5,Days_2_L5,Time_to_20deg_L5,L5.5,Time_in_treatment_L5.5,Days_2_L5.5,Time_to_20deg_L5.5,L6,Time_in_treatment_L6,Days_5_L6,Time_to_20deg_L6,L6.5,Time_in_treatment_L6.5,Days_5_L6.5,Time_to_20deg_L6.5,Pupa,Sex
22,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,17-03-2018,11:00,18-03-2018,09:00,23-03-2018,10:00,24-03-2018,09:00,27-03-2018,10:00,29-03-2018,09:00,03-04-2018,11:00,05-04-2018,10:00,10-04-2018,10:00,15-04-2018,09:00,,,,,02-05-2018,F
23,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,16-03-2018,11:00,17-03-2018,09:00,23-03-2018,10:00,24-03-2018,09:00,27-03-2018,10:00,29-03-2018,09:00,,,,,04-04-2018,10:00,09-04-2018,10:00,,,,,26-04-2018,F
24,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,19-03-2018,10:00,20-03-2018,09:00,25-03-2018,10:00,26-03-2018,09:00,31-03-2018,10:00,02-04-2018,09:00,,,,,08-04-2018,10:00,13-04-2018,10:00,,,,,27-04-2018,M
25,19-04-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,17-03-2018,11:00,18-03-2018,09:00,21-03-2018,14:00,22-03-2018,09:00,24-03-2018,10:00,26-03-2018,09:00,04-04-2018,10:00,06-04-2018,09:00,,,,,,,,,,
26,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,16-03-2018,11:00,17-03-2018,09:00,21-03-2018,14:00,22-03-2018,09:00,25-03-2018,10:00,27-03-2018,10:00,,,,,01-04-2018,12:00,06-04-2018,09:00,,,,,15-04-2018,M
27,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,15-03-2018,10:00,16-03-2018,09:00,20-03-2018,10:00,21-03-2018,09:00,24-03-2018,10:00,26-03-2018,09:00,,,,,02-04-2018,10:00,07-04-2018,09:00,,,,,24-04-2018,F
28,17-03-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
29,11-04-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,18-03-2018,10:00,19-03-2018,09:00,25-03-2018,10:00,26-03-2018,09:00,29-03-2018,11:00,31-03-2018,09:00,04-04-2018,10:00,06-04-2018,09:00,06-04-2018,10:00,11-04-2018,09:00,,,,,,
30,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,19-03-2018,10:00,20-03-2018,09:00,25-03-2018,10:00,26-03-2018,09:00,01-04-2018,12:00,03-04-2018,09:00,,,,,15-04-2018,10:00,20-04-2018,09:00,,,,,11-05-2018,F
31,16-03-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
32,21-04-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,18-03-2018,10:00,19-03-2018,09:00,24-03-2018,10:00,25-03-2018,09:00,30-03-2018,10:00,01-04-2018,11:00,05-04-2018,11:00,07-04-2018,09:00,13-04-2018,10:00,19-04-2018,09:00,,,,,,
33,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,20-03-2018,10:00,21-03-2018,09:00,26-03-2018,10:00,27-03-2018,10:00,31-03-2018,10:00,02-04-2018,09:00,,,,,07-04-2018,11:00,12-04-2018,10:00,,,,,23-04-2018,F
34,12-03-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,18-03-2018,10:00,19-03-2018,09:00,22-03-2018,10:00,23-03-2018,09:00,26-03-2018,10:00,28-03-2018,09:00,,,,,30-03-2018,10:00,04-04-2018,09:00,,,,,10-04-2018,M
36,11-03-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,17-03-2018,11:00,18-03-2018,09:00,22-03-2018,10:00,23-03-2018,09:00,27-03-2018,10:00,29-03-2018,09:00,,,,,03-04-2018,11:00,08-04-2018,09:00,,,,,12-04-2018,M
38,17-03-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
39,27-03-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,18-03-2018,10:00,19-03-2018,09:00,22-03-2018,10:00,23-03-2018,09:00,,,,,,,,,,,,,,,,,,
40,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,18-03-2018,10:00,19-03-2018,09:00,24-03-2018,10:00,25-03-2018,09:00,29-03-2018,11:00,31-03-2018,09:00,,,,,05-04-2018,11:00,10-04-2018,09:00,,,,,20-04-2018,F
41,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,16-03-2018,11:00,17-03-2018,09:00,22-03-2018,10:00,23-03-2018,09:00,26-03-2018,10:00,28-03-2018,09:00,,,,,02-04-2018,10:00,07-04-2018,09:00,,,,,18-04-2018,F
42,19-04-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,16-03-2018,11:00,17-03-2018,09:00,23-03-2018,10:00,24-03-2018,09:00,26-03-2018,10:00,28-03-2018,09:00,04-04-2018,10:00,06-04-2018,09:00,17-04-2018,10:00,22-04-2018,,,,,,,
43,12-03-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,16-03-2018,11:00,17-03-2018,09:00,21-03-2018,14:00,22-03-2018,09:00,25-03-2018,10:00,27-03-2018,10:00,,,,,01-04-2018,12:00,06-04-2018,09:00,,,,,13-04-2018,M
45,11-04-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,15-03-2018,10:00,16-03-2018,09:00,21-03-2018,14:00,22-03-2018,09:00,27-03-2018,10:00,29-03-2018,09:00,,,,,04-04-2018,10:00,09-04-2018,10:00,,,,,,
46,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,18-03-2018,10:00,19-03-2018,09:00,25-03-2018,10:00,26-03-2018,09:00,29-03-2018,11:00,31-03-2018,09:00,,,,,06-04-2018,10:00,11-04-2018,09:00,,,,,24-04-2018,M
47,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,16-03-2018,11:00,17-03-2018,09:00,21-03-2018,14:00,22-03-2018,09:00,25-03-2018,10:00,27-03-2018,10:00,,,,,31-03-2018,10:00,05-04-2018,10:00,,,,,13-04-2018,M
48,02-05-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,17-03-2018,11:00,18-03-2018,09:00,22-03-2018,10:00,23-03-2018,09:00,27-03-2018,10:00,29-03-2018,09:00,,,,,03-04-2018,11:00,08-04-2018,09:00,,,,,,
49,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,16-03-2018,11:00,17-03-2018,09:00,20-03-2018,10:00,21-03-2018,09:00,24-03-2018,10:00,26-03-2018,09:00,,,,,29-03-2018,11:00,03-04-2018,09:00,,,,,10-04-2018,M
50,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,18-03-2018,10:00,19-03-2018,09:00,24-03-2018,10:00,25-03-2018,09:00,29-03-2018,11:00,31-03-2018,09:00,,,,,06-04-2018,10:00,11-04-2018,09:00,,,,,20-04-2018,F
