Cup #,Dead,Crisper setup,L2,Time_in_treatment_L2,Days_1_L2,Time_to_20deg_L2,L3,Time_in_treatment_L3,Days_1_L3,Time_to_20deg_L3,L4,Time_in_treatment_L4,Days_1_L4,Time_to_20deg_L4,L5,Time_in_treatment_L5,Days_2_L5,Time_to_20deg_L5,L5.5,Time_in_treatment_L5.5,Days_2_L5.5,Time_to_20deg_L5.5,L6,Time_in_treatment_L6,Days_3_L6,Time_to_20deg_L6,L6.5,Time_in_treatment_L6.5,Days_3_L6.5,Time_to_20deg_L6.5,Pupa,Sex
25,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,16-03-2018,12:00,17-03-2018,09:00,20-03-2018,11:00,21-03-2018,09:00,24-03-2018,11:00,26-03-2018,09:00,,,,,27-03-2018,11:00,30-03-2018,09:00,,,,,03-04-2018,M
26,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,17-03-2018,12:00,18-03-2018,09:00,22-03-2018,11:00,23-03-2018,09:00,26-03-2018,12:00,28-03-2018,09:00,,,,,28-03-2018,13:00,31-03-2018,09:00,,,,,01-04-2018,M
27,14-03-2018,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,18-03-2018,11:00,19-03-2018,10:00,25-03-2018,12:00,26-03-2018,09:00,29-03-2018,11:00,31-03-2018,09:00,31-03-2018,11:00,02-04-2018,09:00,03-04-2018,11:00,06-04-2018,09:00,,,,,11-04-2018,M
29,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,17-03-2018,12:00,18-03-2018,09:00,22-03-2018,11:00,23-03-2018,09:00,27-03-2018,11:00,29-03-2018,09:00,,,,,30-03-2018,10:00,02-04-2018,09:00,,,,,07-04-2018,F
30,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,21-03-2018,16:00,22-03-2018,09:00,25-03-2018,12:00,26-03-2018,09:00,29-03-2018,11:00,31-03-2018,09:00,31-03-2018,11:00,02-04-2018,09:00,02-04-2018,10:00,05-02-2018,10:00,,,,,12-04-2018,F
31,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,18-03-2018,11:00,19-03-2018,10:00,21-03-2018,16:00,22-03-2018,09:00,24-03-2018,11:00,26-03-2018,09:00,,,,,26-03-2018,12:00,29-03-2018,09:00,,,,,02-04-2018,M
32,04-04-2018,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,18-03-2018,11:00,19-03-2018,10:00,23-03-2018,12:00,24-03-2018,09:00,28-03-2018,13:00,30-03-2018,09:00,,,,,,,,,,,,,,
33,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,17-03-2018,12:00,18-03-2018,09:00,22-03-2018,11:00,23-03-2018,09:00,28-03-2018,13:00,30-03-2018,09:00,,,,,31-03-2018,11:00,03-04-2018,09:00,,,,,07-04-2018,M
34,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,17-03-2018,12:00,18-03-2018,09:00,22-03-2018,11:00,23-03-2018,09:00,28-03-2018,13:00,30-03-2018,09:00,,,,,31-03-2018,11:00,03-04-2018,09:00,,,,,05-04-2018,M
35,07-04-2018,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,18-03-2018,11:00,19-03-2018,10:00,23-03-2018,12:00,24-03-2018,09:00,,,,,,,,,,,,,,,,,,
36,14-03-2018,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,15-03-2018,11:00,16-03-2018,09:00,20-03-2018,11:00,21-03-2018,09:00,24-03-2018,11:00,26-03-2018,09:00,,,,,27-03-2018,11:00,30-03-2018,09:00,,,,,03-04-2018,M
38,14-03-2018,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,18-03-2018,11:00,19-03-2018,10:00,23-03-2018,12:00,24-03-2018,09:00,28-03-2018,13:00,30-03-2018,09:00,,,,,30-03-2018,10:00,02-04-2018,09:00,,,,,04-04-2018,M
40,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,17-03-2018,12:00,18-03-2018,09:00,21-03-2018,16:00,22-03-2018,09:00,25-03-2018,12:00,27-03-2018,10:00,,,,,01-04-2018,13:00,04-04-2018,09:00,,,,,17-04-2018,F
41,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,18-03-2018,11:00,19-03-2018,10:00,23-03-2018,12:00,24-03-2018,09:00,26-03-2018,12:00,28-03-2018,09:00,04-04-2018,10:00,06-04-2018,09:00,16-04-2018,10:00,19-04-2018,09:00,,,,,30-04-2018,F
42,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,18-03-2018,11:00,19-03-2018,10:00,24-03-2018,11:00,25-03-2018,09:00,28-03-2018,13:00,30-03-2018,09:00,,,,,31-03-2018,11:00,03-04-2018,09:00,,,,,05-04-2018,M
43,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,19-03-2018,11:00,20-03-2018,09:00,24-03-2018,11:00,25-03-2018,09:00,28-03-2018,13:00,30-03-2018,09:00,,,,,01-04-2018,13:00,04-04-2018,09:00,,,,,09-04-2018,F
44,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,17-03-2018,12:00,18-03-2018,09:00,21-03-2018,16:00,22-03-2018,09:00,25-03-2018,12:00,27-03-2018,10:00,30-03-2018,10:00,01-04-2018,11:00,01-04-2018,13:00,04-04-2018,09:00,,,,,11-04-2018,M
45,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,17-03-2018,12:00,18-03-2018,09:00,21-03-2018,16:00,22-03-2018,09:00,24-03-2018,11:00,26-03-2018,09:00,,,,,27-03-2018,11:00,30-03-2018,09:00,,,,,05-04-2018,F
46,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,16-03-2018,12:00,17-03-2018,09:00,21-03-2018,16:00,22-03-2018,09:00,25-03-2018,12:00,27-03-2018,10:00,,,,,28-03-2018,13:00,31-03-2018,09:00,,,,,04-04-2018,F
47,14-03-2018,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,15-03-2018,11:00,16-03-2018,09:00,20-03-2018,11:00,21-03-2018,09:00,24-03-2018,11:00,26-03-2018,09:00,,,,,27-03-2018,11:00,30-03-2018,09:00,,,,,03-04-2018,M
49,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,17-03-2018,12:00,18-03-2018,09:00,22-03-2018,11:00,23-03-2018,09:00,27-03-2018,11:00,29-03-2018,09:00,,,,,31-03-2018,11:00,03-04-2018,09:00,,,,,08-04-2018,F
50,14-03-2018,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
